a oldal;b oldal;c oldal
27;141;103
86;68;108
153;92;54
163;169;128
118;192;77
142;187;150
136;65;114
33;24;63
98;155;154
26;146;71
117;46;173
59;70;150
67;97;160
102;156;58
128;189;146
99;144;66
178;81;179
176;163;70
56;108;59
146;175;71
130;178;170
177;55;71
164;86;63
99;189;176
153;45;136
125;25;69
148;76;103
105;87;134
28;68;96
124;154;175
181;70;46
46;151;115
150;66;137
129;120;93
90;180;132
168;75;74
54;56;147
82;97;44
65;187;47
99;53;27
138;83;134
134;119;157
48;91;199
147;194;46
108;163;93
169;127;60
66;95;91
75;129;151
191;99;28
197;72;69
38;135;95
119;27;106
140;165;101
178;119;131
119;166;93
46;80;167
117;186;72
86;192;138
26;152;92
180;199;103
182;68;177
150;77;117
32;155;147
77;132;127
87;110;156
67;126;127
70;184;59
124;121;87
21;191;141
124;157;185
93;188;69
59;181;75
93;170;196
51;107;81
109;144;71
26;62;93
127;177;49
182;171;33
154;81;150
142;49;62
109;124;62
42;183;118
119;139;143
58;116;92
27;82;60
186;83;129
30;81;49
126;78;167
107;166;29
74;48;178
121;50;79
149;92;200
194;32;109
138;49;85
132;109;139
95;200;87
31;157;41
37;144;58
120;148;23
57;192;172
115;141;122
28;48;64
168;185;48
177;96;116
61;194;151
129;188;175
179;83;70
52;191;177
185;85;115
70;149;146
135;98;51
103;174;145
84;185;36
195;155;77
68;192;20
38;112;91
185;40;187
73;156;142
151;46;93
49;170;166
113;150;113
197;109;192
70;87;65
74;83;30
171;154;32
188;184;93
126;95;35
84;146;83
94;32;150
34;21;115
105;22;186
66;124;102
47;29;146
52;52;111
189;135;200
57;47;200
26;28;109
111;125;141
109;150;28
76;62;69
97;169;94
110;172;171
27;197;41
138;155;53
76;84;159
179;67;39
167;194;124
137;188;127
95;155;177
54;48;193
96;122;113
107;174;65
29;44;117
97;47;58
63;57;183
69;116;33
101;123;135
156;61;60
120;105;114
115;185;99
59;55;141
196;77;79
187;137;35
192;136;174
182;117;151
171;126;58
161;141;124
172;134;86
147;125;23
133;42;77
59;160;21
154;191;87
108;33;151
37;125;164
67;193;82
28;42;32
54;107;77
59;133;132
71;125;117
68;142;167
180;109;97
177;137;41
98;89;42
104;26;108
33;162;141
187;147;115
98;195;110
151;109;113
130;27;78
23;179;168
58;118;130
60;148;53
150;198;29
167;84;92
86;55;78
178;48;89
111;49;161
145;149;184
113;33;156
195;173;98
189;101;67
66;182;32
89;50;65
107;151;47
59;119;129
109;27;199
149;103;151
159;158;184
154;172;139
197;36;86
22;92;190
70;109;142
165;84;147
185;146;146
150;61;76
119;168;180
47;200;70
69;56;50
147;144;192
180;45;43
93;107;76
79;188;119
161;55;182
133;137;81
20;25;100
51;169;144
191;33;112
188;158;106
78;85;109
86;43;49
176;43;168
52;131;120
115;196;142
54;121;32
167;93;58
172;63;82
196;183;85
40;68;30
31;138;164
136;174;108
118;93;60
27;73;154
183;92;41
149;39;162
197;161;136
63;172;82
78;97;56
153;163;103
55;101;66
59;27;45
64;27;175
200;180;63
25;41;74
119;70;46
73;60;95
34;52;100
168;137;131
110;79;130
50;37;183
23;29;137
110;48;188
67;112;62
153;24;97
52;86;60
102;56;108
144;113;106
178;80;36
118;155;39
159;81;128
73;177;82
61;88;176
133;188;161
129;107;95
167;52;33
21;94;35
39;59;194
193;180;33
125;178;131
42;90;167
148;101;55
66;64;187
110;113;31
42;123;192
79;25;23
153;56;35
187;145;115
119;102;34
72;177;119
47;86;197
117;194;118
69;189;26
197;132;75
97;77;178
116;74;194
75;155;112
166;191;51
32;47;77
120;51;42
38;104;90
185;186;27
162;142;117
74;85;57
195;153;116
142;66;105
29;128;141
102;109;180
114;25;146
156;157;101
182;150;135
50;170;54
35;110;188
79;63;158
195;106;60
43;29;124
104;151;85
149;127;186
94;107;41
120;31;184
44;154;131
191;37;80
168;55;112
156;21;126
196;79;83
192;33;25
132;84;200
143;74;195
34;157;36
69;153;141
24;73;93
55;51;54
146;144;48
185;152;46
31;161;119
157;110;155
51;37;91
150;167;31
46;138;30
116;196;188
58;20;74
51;34;86
174;56;86
49;24;30
39;90;89
76;109;154
117;52;100
44;20;148
46;155;123
60;48;122
173;141;79
94;86;105
162;174;40
49;166;162
57;50;120
98;190;167
114;120;154
80;186;75
84;159;179
78;93;55
45;94;161
194;147;21
52;96;86
67;52;107
55;79;71
113;49;165
64;100;157
181;73;160
148;155;62
131;125;163
90;175;127
97;136;145
94;145;45
119;49;89
90;116;137
113;127;106
103;124;100
85;140;157
197;32;87
79;167;35
93;124;159
157;151;52
121;94;199
94;97;193
37;159;103
110;72;79
61;158;173
52;26;122
39;77;27
43;45;125
41;82;72
42;81;170
72;195;157
63;166;119
162;131;84
43;23;174
90;59;26
22;157;189
103;54;63
178;121;181
197;140;157
152;33;175
47;54;100
27;26;73
157;143;79
74;72;104
149;20;51
131;116;178
200;63;52
94;104;144
132;64;47
107;174;109
122;39;44
149;79;26
81;184;162
64;50;95
95;97;115
97;147;51
136;101;177
81;145;180
44;109;152
51;184;182
165;146;40
77;148;125
163;191;30
47;159;87
163;175;180
171;65;39
79;29;111
21;156;109
101;50;106
178;87;196
97;28;61
182;123;138
152;25;67
86;173;132
120;169;80
166;69;179
173;137;86
192;110;161
152;85;147
170;118;45
191;173;143
178;126;186
125;154;180
83;23;175
169;108;68
167;183;91
124;128;128
170;81;165
162;189;170
86;25;80
162;144;64
81;75;121
167;44;80
84;43;191
115;45;163
135;34;153
169;60;86
20;176;47
185;85;54
100;89;96
195;103;113
159;71;93
62;150;87
167;53;182
162;163;171
52;138;101
140;42;159
137;148;200
175;110;112
113;63;25
42;150;193
35;97;149
86;152;95
195;132;35
32;69;40
123;41;56
161;102;91
32;119;99
151;112;198
34;144;145
60;50;107
143;153;64
114;51;176
61;196;191
48;24;128
101;84;83
161;175;119
41;188;58
104;185;52
146;80;54
158;147;22
121;111;181
147;124;133
24;133;33
105;119;47
72;45;64
131;37;79
39;118;180
38;133;194
78;164;172
128;102;144
168;144;81
38;102;137
151;71;149
161;23;65
125;106;192
175;144;130
140;49;178
93;144;200
66;109;28
168;141;128
70;68;126
177;180;187
163;64;96
118;76;132
121;101;102
184;92;83
181;104;177
138;111;138
144;172;109
200;103;186
95;77;37
141;185;22
77;146;145
74;162;97
46;59;96
175;158;174
42;158;111
135;160;120
131;25;151
123;23;141
41;141;90
100;137;140
109;86;36
83;184;28
183;102;108
54;79;127
186;160;184
133;200;187
178;177;43
154;140;131
191;77;106
110;57;135
108;72;37
125;80;56
115;194;117
74;190;195
124;22;192
61;174;196
98;74;109
138;29;88
106;38;136
154;157;169
40;93;58
170;107;145
139;39;122
128;175;153
197;60;66
191;76;157
71;79;69
111;56;129
135;134;64
135;28;110
176;20;108
167;175;188
93;148;114
139;71;87
53;169;52
53;135;45
135;107;156
178;51;22
139;37;44
96;113;45
149;159;154
195;100;182
120;122;195
45;140;160
168;174;189
197;118;139
115;200;51
163;147;60
73;55;108
24;197;180
38;49;87
78;183;83
114;81;189
34;139;115
45;86;168
163;106;113
133;31;189
86;100;125
120;200;101
142;194;156
177;22;185
59;159;142
169;176;160
33;181;88
193;138;186
50;182;20
53;131;159
100;131;87
55;42;130
40;66;143
99;177;139
39;190;95
123;175;154
136;123;193
200;167;76
186;62;77
90;118;73
149;41;40
136;23;31
172;166;142
159;30;165
188;109;35
37;111;51
83;129;124
198;95;120
28;52;174
147;171;46
83;187;102
49;103;87
152;156;39
44;92;186
114;171;114
104;144;125
44;73;53
128;71;146
181;26;65
131;36;93
101;114;107
161;149;193
122;88;59
94;67;87
102;140;111
74;185;64
37;109;95
101;101;101
118;66;124
193;103;168
189;166;107
67;93;41
131;186;46
194;158;103
173;57;124
78;84;115
196;31;142
186;116;119
33;177;175
152;113;75
166;127;139
90;199;138
37;61;136
175;191;124
57;42;158
159;29;51
54;92;109
183;84;189
36;151;49
182;182;104
76;78;150
163;141;194
87;62;153
178;129;79
135;69;59
95;186;122
40;102;139
29;189;26
77;69;79
110;44;74
32;93;196
64;139;138
141;51;147
64;179;28
131;175;200
23;128;139
59;186;169
176;162;98
142;49;105
52;56;105
79;186;124
66;80;155
24;87;160
159;29;198
170;93;66
183;136;120
177;104;96
125;20;42
105;43;164
149;25;56
83;90;170
151;133;188
38;131;101
179;153;89
53;200;42
22;177;181
104;126;148
61;73;64
85;95;51
52;95;41
52;185;169
110;62;140
49;29;151
120;169;101
74;98;27
40;64;196
86;54;183
76;84;48
89;60;44
165;99;132
198;145;132
81;125;149
173;67;149
33;192;199
147;168;124
113;66;29
110;89;34
101;39;167
113;177;59
172;42;107
28;180;144
173;146;198
164;144;134
93;175;72
138;146;83
94;116;98
168;157;90
49;72;62
119;59;160
175;162;21
69;138;36
56;179;185
105;192;75
193;173;169
111;69;29
83;44;144
104;84;190
109;53;59
109;68;128
81;137;52
128;157;73
111;120;162
170;75;199
104;181;69
100;41;90
114;167;28
158;81;31
73;77;121
77;61;124
132;114;74
76;122;169
79;150;24
23;80;119
73;65;148
156;169;125
84;191;190
167;64;177
136;146;118
57;160;177
140;118;160
119;53;28
50;92;164
71;159;138
101;29;70
74;110;120
200;141;128
38;137;34
191;91;127
114;111;132
58;136;125
195;111;103
162;113;25
49;123;55
99;186;147
20;174;82
61;153;27
132;158;47
104;173;46
45;144;96
46;37;72
80;171;28
200;121;31
172;108;133
108;73;42
172;117;61
130;52;125
164;158;39
23;87;173
95;126;109
65;189;103
140;145;69
153;144;193
157;125;51
70;43;48
132;100;195
109;23;124
194;137;42
45;54;194
28;85;118
191;49;46
85;111;163
24;171;111
151;138;71
120;67;83
164;89;137
158;45;26
91;120;137
138;138;103
132;23;155
142;93;131
106;167;25
86;152;46
158;130;100
92;122;175
154;30;33
38;80;196
167;153;71
97;116;121
186;101;131
54;108;197
182;103;185
176;104;133
28;143;31
100;93;36
100;135;141
43;174;162
172;30;133
